canonical_name,coverage_ctrl,mean_called,mean_tp_called,mean_fp_called,mean_precision,mean_recall,mean_f1
flatearth_plateau_broad,24.0,37.02777777777778,28.25,8.777777777777779,0.7703409831484341,0.9805555555555555,0.8600963603397398
hilly_peak_narrow,0.5,22.27777777777778,20.63888888888889,1.6388888888888888,0.9229112210725039,0.7,0.7851460710948361
hilly_peak_narrow,1.0,28.694444444444443,26.52777777777778,2.1666666666666665,0.9255003317870624,0.900925925925926,0.911499676982094
hilly_peak_narrow,2.0,38.94444444444444,28.36111111111111,10.583333333333334,0.7627111438089282,0.962037037037037,0.8423733505469513
hilly_peak_narrow,4.0,117.61111111111111,29.055555555555557,88.55555555555556,0.2660309650296374,0.9851851851851853,0.4130210676845721
hilly_peak_narrow,8.0,177.63888888888889,29.166666666666668,148.47222222222223,0.1698979161626769,0.9898148148148148,0.28872111509148723
hilly_peak_narrow,12.0,196.63888888888889,29.166666666666668,167.47222222222223,0.15775206428271912,0.9898148148148148,0.27004644362956004
hilly_peak_narrow,16.0,196.63888888888889,29.166666666666668,167.47222222222223,0.15775206428271912,0.9898148148148148,0.27004644362956004
hilly_peak_narrow,24.0,196.63888888888889,29.166666666666668,167.47222222222223,0.15775206428271912,0.9898148148148148,0.27004644362956004
wavy_peak_narrow,0.5,22.77777777777778,21.77777777777778,1.0,0.9602077940256889,0.7398148148148148,0.8210437789701995
wavy_peak_narrow,1.0,29.22222222222222,27.055555555555557,2.1666666666666665,0.9272392516410175,0.9185185185185186,0.9215431234361162
wavy_peak_narrow,2.0,38.333333333333336,28.47222222222222,9.86111111111111,0.768713779754154,0.9657407407407407,0.8489119340140905
wavy_peak_narrow,4.0,103.0,29.11111111111111,73.88888888888889,0.3126630902413271,0.987962962962963,0.46577892053529024
wavy_peak_narrow,8.0,162.55555555555554,29.27777777777778,133.27777777777777,0.19267535262405122,0.9935185185185185,0.3190985970990535
wavy_peak_narrow,12.0,177.94444444444446,29.27777777777778,148.66666666666666,0.1802417545825241,0.9935185185185185,0.3005107430682454
wavy_peak_narrow,16.0,177.94444444444446,29.27777777777778,148.66666666666666,0.1802417545825241,0.9935185185185185,0.3005107430682454
wavy_peak_narrow,24.0,177.94444444444446,29.27777777777778,148.66666666666666,0.1802417545825241,0.9935185185185185,0.3005107430682454
hilly_plateau_broad,0.5,13.63888888888889,12.333333333333334,1.3055555555555556,0.8532076154298376,0.4305555555555556,0.48813791501579906
hilly_plateau_broad,1.0,22.11111111111111,19.61111111111111,2.5,0.8698345919014886,0.6796296296296297,0.7406416542794753
hilly_plateau_broad,2.0,31.305555555555557,25.305555555555557,6.0,0.8232461227922978,0.8768518518518519,0.8435370895815085
hilly_plateau_broad,4.0,59.583333333333336,27.52777777777778,32.05555555555556,0.47566252215631266,0.9546296296296296,0.6311137286137765
hilly_plateau_broad,8.0,99.55555555555556,27.97222222222222,71.58333333333333,0.30508340636255543,0.9703703703703704,0.45573384749701096
hilly_plateau_broad,12.0,108.72222222222223,28.0,80.72222222222223,0.29176109584524185,0.9712962962962963,0.4375788490578892
hilly_plateau_broad,16.0,108.72222222222223,28.0,80.72222222222223,0.29176109584524185,0.9712962962962963,0.4375788490578892
hilly_plateau_broad,24.0,108.72222222222223,28.0,80.72222222222223,0.29176109584524185,0.9712962962962963,0.4375788490578892
wavy_plateau_broad,0.5,13.75,12.75,1.0,0.8849711532613831,0.44166666666666665,0.48748678285267755
wavy_plateau_broad,1.0,23.194444444444443,21.166666666666668,2.0277777777777777,0.9082034286381728,0.7296296296296296,0.7880597504566011
wavy_plateau_broad,2.0,30.166666666666668,25.52777777777778,4.638888888888889,0.8515153769891762,0.8851851851851852,0.8634803959459113
wavy_plateau_broad,4.0,53.638888888888886,27.916666666666668,25.72222222222222,0.5447060393457748,0.9666666666666666,0.689732776768982
wavy_plateau_broad,8.0,91.72222222222223,28.194444444444443,63.52777777777778,0.33278443204821156,0.9759259259259259,0.4876839808303958
wavy_plateau_broad,12.0,99.91666666666667,28.22222222222222,71.69444444444444,0.31814947699978974,0.9768518518518517,0.46846780628104756
wavy_plateau_broad,16.0,99.91666666666667,28.22222222222222,71.69444444444444,0.31814947699978974,0.9768518518518517,0.46846780628104756
wavy_plateau_broad,24.0,99.91666666666667,28.22222222222222,71.69444444444444,0.31814947699978974,0.9768518518518517,0.46846780628104756
